walkers, Energy
356.000000, 0.283098
360.000000, 0.276521
360.000000, 0.275514
357.000000, 0.278696
356.000000, 0.279113
357.000000, 0.276733
357.000000, 0.275754
355.000000, 0.277588
350.000000, 0.283717
350.000000, 0.282781
352.000000, 0.279000
351.000000, 0.279483
350.000000, 0.279978
349.000000, 0.280486
346.000000, 0.283886
347.000000, 0.281545
345.000000, 0.283535
345.000000, 0.282647
344.000000, 0.283213
344.000000, 0.282335
344.000000, 0.281461
344.000000, 0.280589
344.000000, 0.279720
343.000000, 0.280309
342.000000, 0.280910
342.000000, 0.280058
341.000000, 0.280674
341.000000, 0.279832
340.000000, 0.280461
339.000000, 0.281103
339.000000, 0.280278
338.000000, 0.280933
339.000000, 0.278641
337.000000, 0.280783
336.000000, 0.281464
336.000000, 0.280666
335.000000, 0.281360
334.000000, 0.282066
333.000000, 0.282784
333.000000, 0.282009
334.000000, 0.279737
335.000000, 0.277468
334.000000, 0.278186
333.000000, 0.278915
333.000000, 0.278152
333.000000, 0.277391
331.000000, 0.279644
331.000000, 0.278897
329.000000, 0.281182
329.000000, 0.280448
328.000000, 0.281238
326.000000, 0.283571
326.000000, 0.282856
324.000000, 0.285221
323.000000, 0.286065
321.000000, 0.288476
321.000000, 0.287793
320.000000, 0.288671
318.000000, 0.291130
317.000000, 0.292041
316.000000, 0.292963
316.000000, 0.292311
315.000000, 0.293246
314.000000, 0.294192
312.000000, 0.296750
310.000000, 0.299339
310.000000, 0.298724
309.000000, 0.299726
310.000000, 0.297502
309.000000, 0.298508
309.000000, 0.297903
309.000000, 0.297301
310.000000, 0.295085
312.000000, 0.291265
312.000000, 0.290655
314.000000, 0.286851
314.000000, 0.286234
313.000000, 0.287215
312.000000, 0.288206
309.000000, 0.292435
310.000000, 0.290231
309.000000, 0.291256
309.000000, 0.290671
309.000000, 0.290088
310.000000, 0.287891
310.000000, 0.287307
307.000000, 0.291586
307.000000, 0.291018
306.000000, 0.292082
306.000000, 0.291521
305.000000, 0.292598
305.000000, 0.292045
305.000000, 0.291492
306.000000, 0.289305
305.000000, 0.290388
305.000000, 0.289840
303.000000, 0.292582
300.000000, 0.297021
298.000000, 0.299843
297.000000, 0.301011
297.000000, 0.300504
297.000000, 0.299998
296.000000, 0.301180
296.000000, 0.300682
297.000000, 0.298498
295.000000, 0.301376
294.000000, 0.302583
293.000000, 0.303801
292.000000, 0.305031
293.000000, 0.302847
293.000000, 0.302370
291.000000, 0.305318
290.000000, 0.306573
291.000000, 0.304391
290.000000, 0.305648
291.000000, 0.303468
291.000000, 0.303006
290.000000, 0.304267
289.000000, 0.305538
290.000000, 0.303361
290.000000, 0.302908
290.000000, 0.302456
289.000000, 0.303732
288.000000, 0.305020
288.000000, 0.304579
288.000000, 0.304140
288.000000, 0.303702
288.000000, 0.303265
288.000000, 0.302828
287.000000, 0.304132
283.000000, 0.310720
283.000000, 0.310308
280.000000, 0.315225
280.000000, 0.314828
279.000000, 0.316220
279.000000, 0.315828
