# dt = 0.00020 ps ; n_timesteps = 10000
# masses = [1.66e-03, 1.24e-03, 1.66e-03] m_asu ; kappa = 9.9825e+01 m_asu ps^(-2)
# f[1/ps], p_1[Å^-2], p_2[Å^-2], p_3[Å^-2]
-2.45825e+03, 6.44082e-11, 4.88422e-09, 1.97492e-09 
-2.45775e+03, 6.44093e-11, 4.88430e-09, 1.97495e-09 
-2.45725e+03, 6.44105e-11, 4.88439e-09, 1.97498e-09 
-2.45675e+03, 6.44116e-11, 4.88447e-09, 1.97502e-09 
-2.45625e+03, 6.44128e-11, 4.88455e-09, 1.97505e-09 
-2.45575e+03, 6.44139e-11, 4.88464e-09, 1.97509e-09 
-2.45525e+03, 6.44151e-11, 4.88473e-09, 1.97512e-09 
-2.45475e+03, 6.44163e-11, 4.88481e-09, 1.97516e-09 
-2.45425e+03, 6.44175e-11, 4.88490e-09, 1.97519e-09 
-2.45375e+03, 6.44188e-11, 4.88499e-09, 1.97523e-09 
-2.45325e+03, 6.44200e-11, 4.88508e-09, 1.97526e-09 
-2.45275e+03, 6.44212e-11, 4.88517e-09, 1.97530e-09 
-2.45225e+03, 6.44225e-11, 4.88526e-09, 1.97534e-09 
-2.45175e+03, 6.44238e-11, 4.88536e-09, 1.97538e-09 
-2.45125e+03, 6.44251e-11, 4.88545e-09, 1.97541e-09 
-2.45075e+03, 6.44264e-11, 4.88555e-09, 1.97545e-09 
-2.45025e+03, 6.44277e-11, 4.88564e-09, 1.97549e-09 
-2.44976e+03, 6.44290e-11, 4.88574e-09, 1.97553e-09 
-2.44926e+03, 6.44304e-11, 4.88584e-09, 1.97557e-09 
-2.44876e+03, 6.44317e-11, 4.88593e-09, 1.97561e-09 
-2.44826e+03, 6.44331e-11, 4.88603e-09, 1.97565e-09 
-2.44776e+03, 6.44345e-11, 4.88614e-09, 1.97569e-09 
-2.44726e+03, 6.44359e-11, 4.88624e-09, 1.97573e-09 
-2.44676e+03, 6.44373e-11, 4.88634e-09, 1.97577e-09 
-2.44626e+03, 6.44387e-11, 4.88644e-09, 1.97582e-09 
-2.44576e+03, 6.44401e-11, 4.88655e-09, 1.97586e-09 
-2.44526e+03, 6.44416e-11, 4.88665e-09, 1.97590e-09 
-2.44476e+03, 6.44430e-11, 4.88676e-09, 1.97594e-09 
-2.44426e+03, 6.44445e-11, 4.88687e-09, 1.97599e-09 
-2.44376e+03, 6.44460e-11, 4.88698e-09, 1.97603e-09 
-2.44326e+03, 6.44475e-11, 4.88709e-09, 1.97607e-09 
-2.44276e+03, 6.44490e-11, 4.88720e-09, 1.97612e-09 
-2.44226e+03, 6.44506e-11, 4.88731e-09, 1.97616e-09 
-2.44176e+03, 6.44521e-11, 4.88742e-09, 1.97621e-09 
-2.44126e+03, 6.44537e-11, 4.88753e-09, 1.97626e-09 
-2.44076e+03, 6.44552e-11, 4.88765e-09, 1.97630e-09 
-2.44026e+03, 6.44568e-11, 4.88776e-09, 1.97635e-09 
-2.43976e+03, 6.44584e-11, 4.88788e-09, 1.97640e-09 
-2.43926e+03, 6.44600e-11, 4.88800e-09, 1.97644e-09 
-2.43876e+03, 6.44616e-11, 4.88812e-09, 1.97649e-09 
-2.43826e+03, 6.44633e-11, 4.88823e-09, 1.97654e-09 
