# dt = 0.00100 ps ; n_timesteps = 1000
# masses = [1.24e-03, 1.24e-03, 1.24e-03] m_asu ; kappa = 6.2391e+01 m_asu ps^(-2)
# t[ps], q_1[Å], q_2[Å], q_3[Å], v_1[Å/ps], v_2[Å/ps], v_3[Å/ps], E_kin[eV], E_pot[eV]
0.00000e+00, 1.00000e-02, 5.00000e-03, -5.00000e-03, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 7.79885e-03 
1.00000e-03, 9.62409e-03, 4.87470e-03, -4.62409e-03, -7.36121e-01, -2.44327e-01, 7.29841e-01, 7.05945e-04, 7.07477e-03 
2.00000e-03, 8.52776e-03, 4.51135e-03, -3.54032e-03, -1.41070e+00, -4.64477e-01, 1.37427e+00, 2.54836e-03, 5.18522e-03 
3.00000e-03, 6.80269e-03, 3.94574e-03, -1.87554e-03, -1.96714e+00, -6.39891e-01, 1.85767e+00, 4.81114e-03, 2.86511e-03 
4.00000e-03, 4.59348e-03, 3.23156e-03, 1.75013e-04, -2.35847e+00, -7.56649e-01, 2.12277e+00, 6.62293e-03, 1.00848e-03 
5.00000e-03, 2.08576e-03, 2.43245e-03, 2.36999e-03, -2.55129e+00, -8.09371e-01, 2.13715e+00, 7.30170e-03, 3.14804e-04 
6.00000e-03, -5.09113e-04, 1.61282e-03, 4.44932e-03, -2.52894e+00, -8.01717e-01, 1.89674e+00, 6.61974e-03, 1.01709e-03 
7.00000e-03, -2.97212e-03, 8.29013e-04, 6.16346e-03, -2.29326e+00, -7.45383e-01, 1.42600e+00, 4.88464e-03, 2.79906e-03 
8.00000e-03, -5.09564e-03, 1.22056e-04, 7.30132e-03, -1.86506e+00, -6.57799e-01, 7.74961e-01, 2.80807e-03, 4.93015e-03 
9.00000e-03, -6.70224e-03, -4.86584e-04, 7.71339e-03, -1.28287e+00, -5.58912e-01, 1.32667e-02, 1.21884e-03, 6.56009e-03 
1.00000e-02, -7.66138e-03, -9.95768e-04, 7.32785e-03, -6.00092e-01, -4.67632e-01, -7.77771e-01, 7.36742e-04, 7.05350e-03 
1.10000e-02, -7.90242e-03, -1.42185e-03, 6.15784e-03, 1.19401e-01, -3.98536e-01, -1.51428e+00, 1.53491e-03, 6.23337e-03 
1.20000e-02, -7.42257e-03, -1.79284e-03, 4.29929e-03, 8.06950e-01, -3.59404e-01, -2.11897e+00, 3.28026e-03, 4.44180e-03 
1.30000e-02, -6.28852e-03, -2.14066e-03, 1.91990e-03, 1.39559e+00, -3.50004e-01, -2.52926e+00, 5.27005e-03, 2.39969e-03 
1.40000e-02, -4.63138e-03, -2.49285e-03, -7.59234e-04, 1.82680e+00, -3.62339e-01, -2.70356e+00, 6.70799e-03, 9.23538e-04 
1.50000e-02, -2.63493e-03, -2.86533e-03, -3.48721e-03, 2.05672e+00, -3.82297e-01, -2.62500e+00, 7.01244e-03, 6.09661e-04 
1.60000e-02, -5.17955e-04, -3.25744e-03, -6.00923e-03, 2.06130e+00, -3.92416e-01, -2.30246e+00, 6.03991e-03, 1.60520e-03 
1.70000e-02, 1.48767e-03, -3.65017e-03, -8.09214e-03, 1.83959e+00, -3.75285e-01, -1.76879e+00, 4.14114e-03, 3.55080e-03 
