# dt = 0.00100 ps ; n_timesteps = 1000
# masses = [1.24e-03, 1.24e-03, 1.24e-03] m_asu ; kappa = 6.2391e+01 m_asu ps^(-2)
# f[1/ps], p_1[Å^-2], p_2[Å^-2], p_3[Å^-2]
-4.67532e+02, 6.62502e-08, 1.31558e-08, 2.18689e-08 
-4.66533e+02, 6.62952e-08, 1.31647e-08, 2.18844e-08 
-4.65534e+02, 6.63416e-08, 1.31738e-08, 2.19003e-08 
-4.64535e+02, 6.63895e-08, 1.31832e-08, 2.19167e-08 
-4.63536e+02, 6.64387e-08, 1.31929e-08, 2.19335e-08 
-4.62537e+02, 6.64894e-08, 1.32029e-08, 2.19509e-08 
-4.61538e+02, 6.65415e-08, 1.32132e-08, 2.19688e-08 
-4.60539e+02, 6.65951e-08, 1.32237e-08, 2.19871e-08 
-4.59540e+02, 6.66500e-08, 1.32345e-08, 2.20059e-08 
-4.58541e+02, 6.67065e-08, 1.32456e-08, 2.20253e-08 
-4.57542e+02, 6.67643e-08, 1.32570e-08, 2.20451e-08 
-4.56543e+02, 6.68236e-08, 1.32687e-08, 2.20654e-08 
-4.55544e+02, 6.68844e-08, 1.32807e-08, 2.20862e-08 
-4.54545e+02, 6.69466e-08, 1.32929e-08, 2.21075e-08 
-4.53546e+02, 6.70102e-08, 1.33054e-08, 2.21294e-08 
-4.52547e+02, 6.70754e-08, 1.33183e-08, 2.21517e-08 
-4.51548e+02, 6.71420e-08, 1.33314e-08, 2.21745e-08 
-4.50549e+02, 6.72101e-08, 1.33448e-08, 2.21979e-08 
-4.49550e+02, 6.72797e-08, 1.33585e-08, 2.22217e-08 
-4.48551e+02, 6.73508e-08, 1.33725e-08, 2.22461e-08 
-4.47552e+02, 6.74234e-08, 1.33868e-08, 2.22710e-08 
-4.46553e+02, 6.74974e-08, 1.34014e-08, 2.22964e-08 
-4.45554e+02, 6.75730e-08, 1.34162e-08, 2.23223e-08 
-4.44555e+02, 6.76502e-08, 1.34314e-08, 2.23488e-08 
-4.43556e+02, 6.77288e-08, 1.34469e-08, 2.23758e-08 
-4.42557e+02, 6.78090e-08, 1.34627e-08, 2.24033e-08 
-4.41558e+02, 6.78907e-08, 1.34788e-08, 2.24313e-08 
-4.40559e+02, 6.79739e-08, 1.34951e-08, 2.24599e-08 
-4.39560e+02, 6.80587e-08, 1.35118e-08, 2.24890e-08 
-4.38561e+02, 6.81451e-08, 1.35288e-08, 2.25186e-08 
-4.37562e+02, 6.82331e-08, 1.35461e-08, 2.25488e-08 
-4.36563e+02, 6.83226e-08, 1.35638e-08, 2.25795e-08 
-4.35564e+02, 6.84137e-08, 1.35817e-08, 2.26108e-08 
-4.34565e+02, 6.85064e-08, 1.35999e-08, 2.26426e-08 
-4.33566e+02, 6.86007e-08, 1.36185e-08, 2.26750e-08 
-4.32567e+02, 6.86966e-08, 1.36374e-08, 2.27079e-08 
-4.31568e+02, 6.87941e-08, 1.36566e-08, 2.27414e-08 
-4.30569e+02, 6.88933e-08, 1.36761e-08, 2.27755e-08 
-4.29570e+02, 6.89941e-08, 1.36959e-08, 2.28101e-08 
-4.28571e+02, 6.90965e-08, 1.37161e-08, 2.28453e-08 
-4.27572e+02, 6.92006e-08, 1.37365e-08, 2.28810e-08 
-4.26573e+02, 6.93063e-08, 1.37574e-08, 2.29174e-08 
-4.25574e+02, 6.94137e-08, 1.37785e-08, 2.29543e-08 
-4.24575e+02, 6.95229e-08, 1.38000e-08, 2.29918e-08 
-4.23576e+02, 6.96337e-08, 1.38218e-08, 2.30299e-08 
-4.22577e+02, 6.97462e-08, 1.38439e-08, 2.30685e-08 
-4.21578e+02, 6.98604e-08, 1.38664e-08, 2.31078e-08 
-4.20579e+02, 6.99763e-08, 1.38892e-08, 2.31477e-08 
-4.19580e+02, 7.00940e-08, 1.39123e-08, 2.31881e-08 
-4.18581e+02, 7.02134e-08, 1.39358e-08, 2.32292e-08 
-4.17582e+02, 7.03346e-08, 1.39597e-08, 2.32709e-08 
-4.16583e+02, 7.04576e-08, 1.39838e-08, 2.33132e-08 
-4.15584e+02, 7.05823e-08, 1.40084e-08, 2.33561e-08 
-4.14585e+02, 7.07088e-08, 1.40333e-08, 2.33996e-08 
-4.13586e+02, 7.08371e-08, 1.40585e-08, 2.34438e-08 
-4.12587e+02, 7.09673e-08, 1.40841e-08, 2.34886e-08 
-4.11588e+02, 7.10993e-08, 1.41101e-08, 2.35340e-08 
-4.10589e+02, 7.12331e-08, 1.41364e-08, 2.35801e-08 
-4.09590e+02, 7.13687e-08, 1.41630e-08, 2.36268e-08 
-4.08591e+02, 7.15063e-08, 1.41901e-08, 2.36742e-08 
-4.07592e+02, 7.16457e-08, 1.42175e-08, 2.37222e-08 
-4.06593e+02, 7.17870e-08, 1.42453e-08, 2.37709e-08 
-4.05594e+02, 7.19302e-08, 1.42735e-08, 2.38202e-08 
-4.04595e+02, 7.20753e-08, 1.43020e-08, 2.38702e-08 
-4.03596e+02, 7.22224e-08, 1.43309e-08, 2.39209e-08 
-4.02597e+02, 7.23714e-08, 1.43602e-08, 2.39723e-08 
-4.01598e+02, 7.25223e-08, 1.43899e-08, 2.40243e-08 
-4.00599e+02, 7.26753e-08, 1.44200e-08, 2.40771e-08 
-3.99600e+02, 7.28302e-08, 1.44504e-08, 2.41305e-08 
-3.98601e+02, 7.29872e-08, 1.44813e-08, 2.41846e-08 
-3.97602e+02, 7.31461e-08, 1.45125e-08, 2.42395e-08 
-3.96603e+02, 7.33072e-08, 1.45442e-08, 2.42950e-08 
-3.95604e+02, 7.34702e-08, 1.45762e-08, 2.43513e-08 
-3.94605e+02, 7.36354e-08, 1.46087e-08, 2.44083e-08 
-3.93606e+02, 7.38026e-08, 1.46416e-08, 2.44660e-08 
-3.92607e+02, 7.39719e-08, 1.46748e-08, 2.45245e-08 
-3.91608e+02, 7.41434e-08, 1.47085e-08, 2.45837e-08 
-3.90609e+02, 7.43170e-08, 1.47427e-08, 2.46437e-08 
-3.89610e+02, 7.44927e-08, 1.47772e-08, 2.47044e-08 
-3.88611e+02, 7.46706e-08, 1.48122e-08, 2.47659e-08 
-3.87612e+02, 7.48507e-08, 1.48475e-08, 2.48281e-08 
-3.86613e+02, 7.50331e-08, 1.48834e-08, 2.48911e-08 
-3.85614e+02, 7.52176e-08, 1.49196e-08, 2.49549e-08 
-3.84615e+02, 7.54044e-08, 1.49563e-08, 2.50195e-08 
-3.83616e+02, 7.55935e-08, 1.49935e-08, 2.50849e-08 
-3.82617e+02, 7.57848e-08, 1.50311e-08, 2.51511e-08 
-3.81618e+02, 7.59785e-08, 1.50691e-08, 2.52181e-08 
-3.80619e+02, 7.61745e-08, 1.51076e-08, 2.52860e-08 
-3.79620e+02, 7.63728e-08, 1.51466e-08, 2.53546e-08 
-3.78621e+02, 7.65736e-08, 1.51860e-08, 2.54241e-08 
-3.77622e+02, 7.67767e-08, 1.52259e-08, 2.54945e-08 
-3.76623e+02, 7.69822e-08, 1.52663e-08, 2.55656e-08 
-3.75624e+02, 7.71901e-08, 1.53071e-08, 2.56377e-08 
-3.74625e+02, 7.74005e-08, 1.53484e-08, 2.57106e-08 
-3.73626e+02, 7.76134e-08, 1.53902e-08, 2.57844e-08 
-3.72627e+02, 7.78288e-08, 1.54325e-08, 2.58591e-08 
-3.71628e+02, 7.80467e-08, 1.54753e-08, 2.59346e-08 
-3.70629e+02, 7.82672e-08, 1.55186e-08, 2.60111e-08 
-3.69630e+02, 7.84902e-08, 1.55624e-08, 2.60885e-08 
-3.68631e+02, 7.87158e-08, 1.56067e-08, 2.61667e-08 
-3.67632e+02, 7.89441e-08, 1.56515e-08, 2.62460e-08 
-3.66633e+02, 7.91750e-08, 1.56968e-08, 2.63261e-08 
-3.65634e+02, 7.94086e-08, 1.57427e-08, 2.64072e-08 
-3.64635e+02, 7.96449e-08, 1.57890e-08, 2.64893e-08 
-3.63636e+02, 7.98839e-08, 1.58360e-08, 2.65723e-08 
-3.62637e+02, 8.01256e-08, 1.58834e-08, 2.66564e-08 
-3.61638e+02, 8.03701e-08, 1.59314e-08, 2.67414e-08 
-3.60639e+02, 8.06175e-08, 1.59799e-08, 2.68274e-08 
-3.59640e+02, 8.08677e-08, 1.60290e-08, 2.69144e-08 
-3.58641e+02, 8.11207e-08, 1.60787e-08, 2.70024e-08 
-3.57642e+02, 8.13767e-08, 1.61289e-08, 2.70914e-08 
-3.56643e+02, 8.16355e-08, 1.61797e-08, 2.71815e-08 
-3.55644e+02, 8.18974e-08, 1.62310e-08, 2.72727e-08 
-3.54645e+02, 8.21622e-08, 1.62830e-08, 2.73649e-08 
-3.53646e+02, 8.24300e-08, 1.63355e-08, 2.74582e-08 
-3.52647e+02, 8.27009e-08, 1.63887e-08, 2.75526e-08 
-3.51648e+02, 8.29748e-08, 1.64424e-08, 2.76481e-08 
-3.50649e+02, 8.32519e-08, 1.64967e-08, 2.77447e-08 
-3.49650e+02, 8.35321e-08, 1.65517e-08, 2.78424e-08 
-3.48651e+02, 8.38155e-08, 1.66072e-08, 2.79412e-08 
-3.47652e+02, 8.41021e-08, 1.66634e-08, 2.80412e-08 
-3.46653e+02, 8.43919e-08, 1.67203e-08, 2.81424e-08 
-3.45654e+02, 8.46851e-08, 1.67777e-08, 2.82448e-08 
-3.44655e+02, 8.49815e-08, 1.68359e-08, 2.83483e-08 
-3.43656e+02, 8.52813e-08, 1.68946e-08, 2.84530e-08 
-3.42657e+02, 8.55846e-08, 1.69541e-08, 2.85590e-08 
-3.41658e+02, 8.58912e-08, 1.70142e-08, 2.86662e-08 
-3.40659e+02, 8.62013e-08, 1.70749e-08, 2.87746e-08 
-3.39660e+02, 8.65149e-08, 1.71364e-08, 2.88843e-08 
-3.38661e+02, 8.68321e-08, 1.71985e-08, 2.89953e-08 
-3.37662e+02, 8.71528e-08, 1.72614e-08, 2.91076e-08 
-3.36663e+02, 8.74772e-08, 1.73250e-08, 2.92212e-08 
-3.35664e+02, 8.78053e-08, 1.73892e-08, 2.93361e-08 
-3.34665e+02, 8.81371e-08, 1.74542e-08, 2.94523e-08 
-3.33666e+02, 8.84726e-08, 1.75199e-08, 2.95699e-08 
-3.32667e+02, 8.88119e-08, 1.75864e-08, 2.96889e-08 
-3.31668e+02, 8.91551e-08, 1.76536e-08, 2.98093e-08 
-3.30669e+02, 8.95022e-08, 1.77216e-08, 2.99310e-08 
-3.29670e+02, 8.98532e-08, 1.77903e-08, 3.00542e-08 
-3.28671e+02, 9.02081e-08, 1.78598e-08, 3.01789e-08 
-3.27672e+02, 9.05672e-08, 1.79301e-08, 3.03050e-08 
-3.26673e+02, 9.09303e-08, 1.80012e-08, 3.04326e-08 
-3.25674e+02, 9.12975e-08, 1.80731e-08, 3.05617e-08 
-3.24675e+02, 9.16689e-08, 1.81458e-08, 3.06923e-08 
-3.23676e+02, 9.20445e-08, 1.82193e-08, 3.08244e-08 
-3.22677e+02, 9.24245e-08, 1.82937e-08, 3.09581e-08 
-3.21678e+02, 9.28087e-08, 1.83689e-08, 3.10934e-08 
-3.20679e+02, 9.31974e-08, 1.84449e-08, 3.12303e-08 
-3.19680e+02, 9.35905e-08, 1.85218e-08, 3.13687e-08 
-3.18681e+02, 9.39881e-08, 1.85996e-08, 3.15089e-08 
-3.17682e+02, 9.43902e-08, 1.86783e-08, 3.16507e-08 
-3.16683e+02, 9.47970e-08, 1.87578e-08, 3.17942e-08 
-3.15684e+02, 9.52084e-08, 1.88383e-08, 3.19394e-08 
-3.14685e+02, 9.56246e-08, 1.89197e-08, 3.20863e-08 
-3.13686e+02, 9.60455e-08, 1.90020e-08, 3.22350e-08 
-3.12687e+02, 9.64713e-08, 1.90853e-08, 3.23854e-08 
-3.11688e+02, 9.69021e-08, 1.91695e-08, 3.25377e-08 
-3.10689e+02, 9.73378e-08, 1.92546e-08, 3.26918e-08 
-3.09690e+02, 9.77785e-08, 1.93408e-08, 3.28477e-08 
-3.08691e+02, 9.82244e-08, 1.94279e-08, 3.30056e-08 
-3.07692e+02, 9.86755e-08, 1.95161e-08, 3.31653e-08 
-3.06693e+02, 9.91318e-08, 1.96053e-08, 3.33270e-08 
-3.05694e+02, 9.95934e-08, 1.96954e-08, 3.34906e-08 
-3.04695e+02, 1.00060e-07, 1.97867e-08, 3.36562e-08 
-3.03696e+02, 1.00533e-07, 1.98790e-08, 3.38238e-08 
-3.02697e+02, 1.01011e-07, 1.99723e-08, 3.39935e-08 
-3.01698e+02, 1.01494e-07, 2.00668e-08, 3.41652e-08 
-3.00699e+02, 1.01984e-07, 2.01624e-08, 3.43391e-08 
-2.99700e+02, 1.02479e-07, 2.02590e-08, 3.45151e-08 
-2.98701e+02, 1.02980e-07, 2.03568e-08, 3.46932e-08 
-2.97702e+02, 1.03487e-07, 2.04558e-08, 3.48736e-08 
-2.96703e+02, 1.03999e-07, 2.05559e-08, 3.50561e-08 
-2.95704e+02, 1.04518e-07, 2.06572e-08, 3.52410e-08 
-2.94705e+02, 1.05044e-07, 2.07596e-08, 3.54281e-08 
-2.93706e+02, 1.05575e-07, 2.08633e-08, 3.56176e-08 
-2.92707e+02, 1.06113e-07, 2.09683e-08, 3.58095e-08 
-2.91708e+02, 1.06657e-07, 2.10744e-08, 3.60037e-08 
-2.90709e+02, 1.07208e-07, 2.11818e-08, 3.62004e-08 
-2.89710e+02, 1.07765e-07, 2.12905e-08, 3.63996e-08 
-2.88711e+02, 1.08329e-07, 2.14005e-08, 3.66012e-08 
-2.87712e+02, 1.08900e-07, 2.15119e-08, 3.68055e-08 
-2.86713e+02, 1.09478e-07, 2.16245e-08, 3.70123e-08 
-2.85714e+02, 1.10063e-07, 2.17385e-08, 3.72218e-08 
-2.84715e+02, 1.10655e-07, 2.18539e-08, 3.74339e-08 
-2.83716e+02, 1.11254e-07, 2.19707e-08, 3.76488e-08 
-2.82717e+02, 1.11860e-07, 2.20889e-08, 3.78664e-08 
-2.81718e+02, 1.12474e-07, 2.22085e-08, 3.80868e-08 
-2.80719e+02, 1.13096e-07, 2.23296e-08, 3.83101e-08 
-2.79720e+02, 1.13725e-07, 2.24522e-08, 3.85363e-08 
-2.78721e+02, 1.14362e-07, 2.25763e-08, 3.87654e-08 
-2.77722e+02, 1.15007e-07, 2.27019e-08, 3.89975e-08 
-2.76723e+02, 1.15660e-07, 2.28290e-08, 3.92326e-08 
-2.75724e+02, 1.16321e-07, 2.29577e-08, 3.94709e-08 
-2.74725e+02, 1.16991e-07, 2.30880e-08, 3.97123e-08 
-2.73726e+02, 1.17669e-07, 2.32200e-08, 3.99568e-08 
-2.72727e+02, 1.18355e-07, 2.33535e-08, 4.02047e-08 
-2.71728e+02, 1.19050e-07, 2.34888e-08, 4.04558e-08 
-2.70729e+02, 1.19754e-07, 2.36257e-08, 4.07103e-08 
-2.69730e+02, 1.20467e-07, 2.37643e-08, 4.09681e-08 
-2.68731e+02, 1.21189e-07, 2.39047e-08, 4.12295e-08 
-2.67732e+02, 1.21920e-07, 2.40469e-08, 4.14944e-08 
-2.66733e+02, 1.22661e-07, 2.41909e-08, 4.17629e-08 
-2.65734e+02, 1.23411e-07, 2.43367e-08, 4.20350e-08 
-2.64735e+02, 1.24171e-07, 2.44844e-08, 4.23109e-08 
-2.63736e+02, 1.24940e-07, 2.46340e-08, 4.25906e-08 
-2.62737e+02, 1.25720e-07, 2.47854e-08, 4.28741e-08 
-2.61738e+02, 1.26510e-07, 2.49389e-08, 4.31615e-08 
-2.60739e+02, 1.27310e-07, 2.50943e-08, 4.34529e-08 
-2.59740e+02, 1.28121e-07, 2.52517e-08, 4.37483e-08 
-2.58741e+02, 1.28942e-07, 2.54112e-08, 4.40479e-08 
-2.57742e+02, 1.29775e-07, 2.55728e-08, 4.43517e-08 
-2.56743e+02, 1.30618e-07, 2.57365e-08, 4.46598e-08 
-2.55744e+02, 1.31473e-07, 2.59024e-08, 4.49723e-08 
-2.54745e+02, 1.32339e-07, 2.60704e-08, 4.52892e-08 
-2.53746e+02, 1.33217e-07, 2.62407e-08, 4.56106e-08 
-2.52747e+02, 1.34106e-07, 2.64132e-08, 4.59366e-08 
-2.51748e+02, 1.35008e-07, 2.65880e-08, 4.62673e-08 
-2.50749e+02, 1.35922e-07, 2.67652e-08, 4.66028e-08 
-2.49750e+02, 1.36848e-07, 2.69448e-08, 4.69432e-08 
-2.48751e+02, 1.37787e-07, 2.71268e-08, 4.72885e-08 
-2.47752e+02, 1.38739e-07, 2.73112e-08, 4.76389e-08 
-2.46753e+02, 1.39704e-07, 2.74982e-08, 4.79944e-08 
-2.45754e+02, 1.40683e-07, 2.76877e-08, 4.83552e-08 
-2.44755e+02, 1.41675e-07, 2.78798e-08, 4.87214e-08 
-2.43756e+02, 1.42681e-07, 2.80746e-08, 4.90930e-08 
-2.42757e+02, 1.43701e-07, 2.82721e-08, 4.94702e-08 
-2.41758e+02, 1.44735e-07, 2.84723e-08, 4.98531e-08 
-2.40759e+02, 1.45784e-07, 2.86753e-08, 5.02417e-08 
-2.39760e+02, 1.46848e-07, 2.88811e-08, 5.06363e-08 
-2.38761e+02, 1.47927e-07, 2.90898e-08, 5.10369e-08 
-2.37762e+02, 1.49022e-07, 2.93015e-08, 5.14436e-08 
-2.36763e+02, 1.50132e-07, 2.95161e-08, 5.18567e-08 
-2.35764e+02, 1.51259e-07, 2.97339e-08, 5.22761e-08 
-2.34765e+02, 1.52402e-07, 2.99547e-08, 5.27020e-08 
-2.33766e+02, 1.53561e-07, 3.01787e-08, 5.31347e-08 
-2.32767e+02, 1.54737e-07, 3.04059e-08, 5.35741e-08 
-2.31768e+02, 1.55931e-07, 3.06365e-08, 5.40205e-08 
-2.30769e+02, 1.57143e-07, 3.08704e-08, 5.44739e-08 
-2.29770e+02, 1.58372e-07, 3.11077e-08, 5.49347e-08 
-2.28771e+02, 1.59620e-07, 3.13484e-08, 5.54028e-08 
-2.27772e+02, 1.60886e-07, 3.15928e-08, 5.58785e-08 
-2.26773e+02, 1.62172e-07, 3.18407e-08, 5.63619e-08 
-2.25774e+02, 1.63477e-07, 3.20924e-08, 5.68531e-08 
-2.24775e+02, 1.64802e-07, 3.23478e-08, 5.73525e-08 
-2.23776e+02, 1.66147e-07, 3.26070e-08, 5.78601e-08 
-2.22777e+02, 1.67513e-07, 3.28702e-08, 5.83761e-08 
-2.21778e+02, 1.68900e-07, 3.31374e-08, 5.89007e-08 
-2.20779e+02, 1.70308e-07, 3.34086e-08, 5.94342e-08 
-2.19780e+02, 1.71738e-07, 3.36840e-08, 5.99766e-08 
-2.18781e+02, 1.73191e-07, 3.39636e-08, 6.05282e-08 
-2.17782e+02, 1.74667e-07, 3.42476e-08, 6.10892e-08 
-2.16783e+02, 1.76166e-07, 3.45359e-08, 6.16599e-08 
-2.15784e+02, 1.77689e-07, 3.48288e-08, 6.22404e-08 
-2.14785e+02, 1.79236e-07, 3.51263e-08, 6.28311e-08 
-2.13786e+02, 1.80808e-07, 3.54285e-08, 6.34320e-08 
-2.12787e+02, 1.82405e-07, 3.57355e-08, 6.40435e-08 
-2.11788e+02, 1.84029e-07, 3.60473e-08, 6.46658e-08 
-2.10789e+02, 1.85679e-07, 3.63642e-08, 6.52992e-08 
-2.09790e+02, 1.87356e-07, 3.66862e-08, 6.59439e-08 
-2.08791e+02, 1.89061e-07, 3.70134e-08, 6.66002e-08 
-2.07792e+02, 1.90794e-07, 3.73460e-08, 6.72684e-08 
-2.06793e+02, 1.92557e-07, 3.76840e-08, 6.79488e-08 
-2.05794e+02, 1.94348e-07, 3.80276e-08, 6.86417e-08 
-2.04795e+02, 1.96171e-07, 3.83769e-08, 6.93474e-08 
-2.03796e+02, 1.98024e-07, 3.87320e-08, 7.00663e-08 
-2.02797e+02, 1.99908e-07, 3.90930e-08, 7.07985e-08 
-2.01798e+02, 2.01826e-07, 3.94602e-08, 7.15446e-08 
-2.00799e+02, 2.03776e-07, 3.98336e-08, 7.23048e-08 
-1.99800e+02, 2.05760e-07, 4.02133e-08, 7.30796e-08 
-1.98801e+02, 2.07779e-07, 4.05996e-08, 7.38692e-08 
-1.97802e+02, 2.09834e-07, 4.09925e-08, 7.46741e-08 
-1.96803e+02, 2.11925e-07, 4.13923e-08, 7.54947e-08 
-1.95804e+02, 2.14054e-07, 4.17990e-08, 7.63314e-08 
-1.94805e+02, 2.16220e-07, 4.22130e-08, 7.71846e-08 
-1.93806e+02, 2.18426e-07, 4.26342e-08, 7.80548e-08 
-1.92807e+02, 2.20672e-07, 4.30629e-08, 7.89424e-08 
-1.91808e+02, 2.22958e-07, 4.34993e-08, 7.98479e-08 
-1.90809e+02, 2.25287e-07, 4.39436e-08, 8.07719e-08 
-1.89810e+02, 2.27659e-07, 4.43959e-08, 8.17148e-08 
-1.88811e+02, 2.30076e-07, 4.48565e-08, 8.26771e-08 
-1.87812e+02, 2.32537e-07, 4.53256e-08, 8.36594e-08 
-1.86813e+02, 2.35046e-07, 4.58033e-08, 8.46623e-08 
-1.85814e+02, 2.37602e-07, 4.62900e-08, 8.56863e-08 
-1.84815e+02, 2.40206e-07, 4.67857e-08, 8.67321e-08 
-1.83816e+02, 2.42862e-07, 4.72909e-08, 8.78003e-08 
-1.82817e+02, 2.45568e-07, 4.78056e-08, 8.88916e-08 
-1.81818e+02, 2.48328e-07, 4.83302e-08, 9.00066e-08 
-1.80819e+02, 2.51142e-07, 4.88648e-08, 9.11461e-08 
-1.79820e+02, 2.54011e-07, 4.94099e-08, 9.23107e-08 
-1.78821e+02, 2.56938e-07, 4.99656e-08, 9.35013e-08 
-1.77822e+02, 2.59924e-07, 5.05322e-08, 9.47187e-08 
-1.76823e+02, 2.62971e-07, 5.11101e-08, 9.59636e-08 
-1.75824e+02, 2.66079e-07, 5.16995e-08, 9.72370e-08 
-1.74825e+02, 2.69252e-07, 5.23008e-08, 9.85396e-08 
-1.73826e+02, 2.72490e-07, 5.29142e-08, 9.98726e-08 
-1.72827e+02, 2.75796e-07, 5.35402e-08, 1.01237e-07 
-1.71828e+02, 2.79172e-07, 5.41791e-08, 1.02633e-07 
-1.70829e+02, 2.82619e-07, 5.48312e-08, 1.04063e-07 
-1.69830e+02, 2.86139e-07, 5.54969e-08, 1.05527e-07 
-1.68831e+02, 2.89736e-07, 5.61767e-08, 1.07026e-07 
-1.67832e+02, 2.93410e-07, 5.68708e-08, 1.08562e-07 
-1.66833e+02, 2.97165e-07, 5.75799e-08, 1.10137e-07 
-1.65834e+02, 3.01003e-07, 5.83042e-08, 1.11750e-07 
-1.64835e+02, 3.04926e-07, 5.90443e-08, 1.13404e-07 
-1.63836e+02, 3.08937e-07, 5.98005e-08, 1.15100e-07 
-1.62837e+02, 3.13038e-07, 6.05736e-08, 1.16839e-07 
-1.61838e+02, 3.17233e-07, 6.13638e-08, 1.18623e-07 
-1.60839e+02, 3.21525e-07, 6.21718e-08, 1.20454e-07 
-1.59840e+02, 3.25916e-07, 6.29982e-08, 1.22333e-07 
-1.58841e+02, 3.30410e-07, 6.38434e-08, 1.24262e-07 
-1.57842e+02, 3.35010e-07, 6.47082e-08, 1.26243e-07 
-1.56843e+02, 3.39719e-07, 6.55931e-08, 1.28278e-07 
-1.55844e+02, 3.44542e-07, 6.64988e-08, 1.30368e-07 
-1.54845e+02, 3.49481e-07, 6.74260e-08, 1.32517e-07 
-1.53846e+02, 3.54541e-07, 6.83754e-08, 1.34726e-07 
-1.52847e+02, 3.59726e-07, 6.93477e-08, 1.36997e-07 
-1.51848e+02, 3.65040e-07, 7.03437e-08, 1.39333e-07 
-1.50849e+02, 3.70488e-07, 7.13643e-08, 1.41736e-07 
-1.49850e+02, 3.76074e-07, 7.24103e-08, 1.44209e-07 
-1.48851e+02, 3.81803e-07, 7.34825e-08, 1.46756e-07 
-1.47852e+02, 3.87681e-07, 7.45819e-08, 1.49379e-07 
-1.46853e+02, 3.93712e-07, 7.57095e-08, 1.52080e-07 
-1.45854e+02, 3.99903e-07, 7.68663e-08, 1.54864e-07 
-1.44855e+02, 4.06259e-07, 7.80534e-08, 1.57734e-07 
-1.43856e+02, 4.12786e-07, 7.92719e-08, 1.60694e-07 
-1.42857e+02, 4.19490e-07, 8.05229e-08, 1.63747e-07 
-1.41858e+02, 4.26379e-07, 8.18077e-08, 1.66897e-07 
-1.40859e+02, 4.33459e-07, 8.31277e-08, 1.70150e-07 
-1.39860e+02, 4.40739e-07, 8.44840e-08, 1.73509e-07 
-1.38861e+02, 4.48225e-07, 8.58783e-08, 1.76979e-07 
-1.37862e+02, 4.55926e-07, 8.73120e-08, 1.80565e-07 
-1.36863e+02, 4.63851e-07, 8.87867e-08, 1.84273e-07 
-1.35864e+02, 4.72008e-07, 9.03041e-08, 1.88109e-07 
-1.34865e+02, 4.80407e-07, 9.18659e-08, 1.92078e-07 
-1.33866e+02, 4.89059e-07, 9.34740e-08, 1.96188e-07 
-1.32867e+02, 4.97973e-07, 9.51305e-08, 2.00444e-07 
-1.31868e+02, 5.07162e-07, 9.68372e-08, 2.04854e-07 
-1.30869e+02, 5.16636e-07, 9.85966e-08, 2.09426e-07 
-1.29870e+02, 5.26409e-07, 1.00411e-07, 2.14169e-07 
