# dt = 0.00100 ps ; n_timesteps = 1000
# masses = [1.24e-03, 1.24e-03, 1.24e-03] m_asu ; kappa = 6.2391e+01 m_asu ps^(-2)
# f[1/ps], p_1[Å^-2], p_2[Å^-2], p_3[Å^-2]
-4.99500e+02, 6.55354e-08, 1.30150e-08, 2.16242e-08 
-4.98501e+02, 6.55367e-08, 1.30153e-08, 2.16247e-08 
-4.97502e+02, 6.55394e-08, 1.30158e-08, 2.16256e-08 
-4.96503e+02, 6.55434e-08, 1.30166e-08, 2.16270e-08 
-4.95504e+02, 6.55488e-08, 1.30177e-08, 2.16288e-08 
-4.94505e+02, 6.55555e-08, 1.30190e-08, 2.16311e-08 
-4.93506e+02, 6.55636e-08, 1.30206e-08, 2.16339e-08 
-4.92507e+02, 6.55730e-08, 1.30225e-08, 2.16371e-08 
-4.91508e+02, 6.55838e-08, 1.30246e-08, 2.16408e-08 
-4.90509e+02, 6.55959e-08, 1.30270e-08, 2.16449e-08 
-4.89510e+02, 6.56093e-08, 1.30296e-08, 2.16495e-08 
-4.88511e+02, 6.56241e-08, 1.30325e-08, 2.16546e-08 
-4.87512e+02, 6.56403e-08, 1.30357e-08, 2.16601e-08 
-4.86513e+02, 6.56578e-08, 1.30392e-08, 2.16661e-08 
-4.85514e+02, 6.56767e-08, 1.30429e-08, 2.16726e-08 
-4.84515e+02, 6.56969e-08, 1.30468e-08, 2.16795e-08 
-4.83516e+02, 6.57185e-08, 1.30511e-08, 2.16869e-08 
-4.82517e+02, 6.57414e-08, 1.30556e-08, 2.16947e-08 
-4.81518e+02, 6.57657e-08, 1.30604e-08, 2.17031e-08 
-4.80519e+02, 6.57914e-08, 1.30655e-08, 2.17118e-08 
-4.79520e+02, 6.58184e-08, 1.30708e-08, 2.17211e-08 
-4.78521e+02, 6.58468e-08, 1.30764e-08, 2.17308e-08 
-4.77522e+02, 6.58766e-08, 1.30822e-08, 2.17410e-08 
-4.76523e+02, 6.59077e-08, 1.30884e-08, 2.17517e-08 
-4.75524e+02, 6.59402e-08, 1.30948e-08, 2.17628e-08 
-4.74525e+02, 6.59741e-08, 1.31014e-08, 2.17744e-08 
-4.73526e+02, 6.60094e-08, 1.31084e-08, 2.17865e-08 
-4.72527e+02, 6.60460e-08, 1.31156e-08, 2.17990e-08 
-4.71528e+02, 6.60841e-08, 1.31231e-08, 2.18121e-08 
-4.70529e+02, 6.61235e-08, 1.31309e-08, 2.18256e-08 
-4.69530e+02, 6.61643e-08, 1.31389e-08, 2.18395e-08 
-4.68531e+02, 6.62066e-08, 1.31472e-08, 2.18540e-08 
